Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
Corn Stover,6.34,67.25,15.64,10.68,52.26,6.03,40.67,0.97,0.07,650,0,1,27.26,26.16,29.69,16.89
Vermont Wood,4.56,81.51,13.55,0.38,54.51,6.21,39.15,0.11,0.03,650,0,1,25.66,26.2,31.22,16.92
Wheat Straw,5.18,67.89,14.89,12.04,58.34,6.4,34.79,0.36,0.11,650,0,1,30.15,24.12,27.85,17.87
Switchgrass,8.38,69.63,14.66,7.33,50.61,5.82,42.77,0.71,0.1,650,0,1,35.66,20.84,25.24,18.26
Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,0.3,37.28,15.11,37.78,9.82
Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,0.5,36.41,16.41,38.97,8.21
Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,0.68,34.18,17.86,40.31,7.65
Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,0.84,33.33,18.46,41.54,6.67
Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,1,31.28,20.51,42.05,6.15
Rice Husk,9.84,65.07,16.13,8.96,45.09,5.93,46.87,0.59,1.52,850,0,1.2,28.21,23.08,43.59,5.13
Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,800,0.2,0.44,44.22,23.14,28.33,4.31
Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,850,0.2,0.44,40.73,25.07,31.33,2.87
Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,900,0.2,0.44,35.81,26.44,35.4,2.34
Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,0.44,31.2,26.5,40.5,1.8
Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,0.18,34,24,39,3
Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,0.44,31,26,41,2
Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,0.72,25,30,43,2
Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,1.02,22,31,45,2
Wood Chips,4.61,83.7,10.41,1.29,43.4,3.57,51.83,1.19,0.01,950,0.2,1.32,21,32,46,1
Pine Sawdust,8,75.71,15.79,0.51,50.54,7.08,41.11,0.57,0.7,800,0.22,0,43.88,16.33,33.67,6.12
